                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2042,                 3.4685,                 1.2229,                0.93894,                0.12082,                0.27531,                0.17626,                 1.1235,                 2.7613,                 1.3197,               0.070312,              0.0032986,              0.0032986
                      1,                 1.1256,                 1.6253,                 1.1927,                0.64359,                0.44941,                0.45631,                0.30274,                 1.1378,                 1.3628,                 1.3085,               0.040094,              0.0064131,              0.0064131
                      2,                 1.1401,                 1.2527,                 1.1889,                0.69857,                0.67259,                0.75473,                0.53493,                 1.0078,                 1.0163,                 1.2798,              0.0096548,              0.0093076,              0.0093076
                      3,                 1.1137,                 1.1164,                 1.1842,                0.71235,                0.74717,                0.79785,                0.55609,                 1.0758,                 1.0911,                 1.3575,                0.00901,                0.00901,                0.00901
                      4,                  1.088,                0.99535,                 1.1618,                0.79281,                0.72304,                0.81491,                0.57205,                  1.086,                 1.0476,                 1.3019,                0.00901,                0.00901,                0.00901
                      5,                 1.0516,                0.93145,                 1.1519,                 0.8816,                0.86958,                0.93241,                0.67343,                0.96737,                0.75879,                 1.2471,                0.00868,                0.00868,                0.00868
                      6,                 1.0414,                0.88656,                 1.1435,                0.90468,                0.90404,                0.94829,                0.69234,                0.95377,                0.71721,                 1.2435,                0.00835,                0.00835,                0.00835
                      7,                 1.0264,                0.84935,                 1.1402,                0.93742,                0.90976,                0.96425,                0.70023,                0.95745,                0.69504,                 1.2443,                0.00802,                0.00802,                0.00802
                      8,                 1.0153,                0.80658,                 1.1307,                0.92272,                0.89378,                0.95658,                0.69915,                0.94624,                0.65675,                 1.2176,                0.00769,                0.00769,                0.00769
                      9,                 1.0011,                  0.775,                 1.1232,                 0.9376,                 0.9336,                 0.9686,                0.70973,                0.98832,                 0.6269,                 1.2408,                0.00736,                0.00736,                0.00736
                     10,                0.99833,                 0.7545,                 1.1281,                0.93468,                0.92634,                 0.9686,                0.71965,                0.94077,                0.58782,                 1.2164,                0.00703,                0.00703,                0.00703
                     11,                0.98754,                0.72975,                 1.1201,                0.96079,                 0.9231,                0.96564,                0.71151,                0.95996,                0.58996,                 1.2422,                 0.0067,                 0.0067,                 0.0067
                     12,                0.97499,                0.71094,                 1.1165,                 0.9646,                0.95302,                0.97905,                0.73665,                0.91236,                0.52685,                 1.2132,                0.00637,                0.00637,                0.00637
                     13,                0.97049,                0.69449,                 1.1139,                0.94579,                0.94265,                0.97104,                0.71342,                0.94999,                0.56236,                 1.2262,                0.00604,                0.00604,                0.00604
                     14,                0.96736,                0.67523,                 1.1113,                0.94714,                0.94657,                0.97147,                0.72246,                 0.9303,                0.52632,                 1.2145,                0.00571,                0.00571,                0.00571
                     15,                 0.9586,                0.65946,                 1.1093,                0.96558,                0.96198,                0.97669,                0.73468,                0.92191,                0.49382,                  1.211,                0.00538,                0.00538,                0.00538
                     16,                0.95015,                0.65066,                 1.1002,                0.94092,                 0.9454,                0.96675,                0.72317,                0.92332,                0.49406,                 1.1982,                0.00505,                0.00505,                0.00505
                     17,                0.95352,                 0.6419,                 1.1081,                0.96931,                0.95477,                 0.9804,                0.74097,                0.90334,                0.48675,                 1.1967,                0.00472,                0.00472,                0.00472
                     18,                0.94416,                0.62616,                 1.1057,                0.95944,                0.93453,                 0.9729,                0.72822,                0.92325,                0.50598,                 1.2208,                0.00439,                0.00439,                0.00439
                     19,                 0.9392,                0.61553,                 1.0976,                0.97248,                0.95891,                0.98137,                0.74234,                0.89797,                0.45982,                 1.1906,                0.00406,                0.00406,                0.00406
                     20,                0.89536,                0.48179,                 1.1567,                0.95885,                0.95262,                0.97302,                0.73105,                0.91298,                0.47207,                 1.1983,                0.00373,                0.00373,                0.00373
                     21,                0.88669,                0.46151,                 1.1508,                0.96969,                0.96553,                0.97952,                0.74525,                0.90068,                0.44412,                 1.1887,                 0.0034,                 0.0034,                 0.0034
                     22,                0.88094,                0.45321,                  1.145,                0.97414,                0.96517,                0.98068,                 0.7456,                0.89633,                0.42985,                 1.1858,                0.00307,                0.00307,                0.00307
                     23,                0.87278,                0.44044,                 1.1445,                0.97382,                0.96115,                0.98075,                0.74465,                0.88852,                0.42647,                 1.1844,                0.00274,                0.00274,                0.00274
                     24,                0.86778,                0.43456,                 1.1396,                0.96738,                 0.9673,                0.98254,                0.75436,                0.88182,                0.41446,                 1.1755,                0.00241,                0.00241,                0.00241
                     25,                0.86559,                0.42437,                 1.1362,                0.97563,                0.96863,                0.98274,                0.75622,                0.89182,                0.40695,                 1.1814,                0.00208,                0.00208,                0.00208
                     26,                0.86195,                0.41821,                 1.1362,                0.96643,                0.97284,                0.97921,                0.75379,                0.88102,                0.39856,                 1.1733,                0.00175,                0.00175,                0.00175
                     27,                0.84992,                0.40466,                 1.1266,                0.97436,                0.96849,                0.98388,                0.75802,                0.88542,                0.39734,                 1.1779,                0.00142,                0.00142,                0.00142
                     28,                0.84426,                0.39673,                 1.1267,                0.97705,                0.97138,                0.98056,                0.75788,                0.87741,                0.38643,                 1.1714,                0.00109,                0.00109,                0.00109
                     29,                0.84143,                0.39379,                 1.1197,                0.97552,                0.97605,                 0.9804,                0.75807,                0.87413,                 0.3799,                 1.1729,                0.00076,                0.00076,                0.00076
