                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5398,                 4.4455,                 1.4401,                      0,                      0,                      0,                      0,                 1.0534,                 4.0784,                 1.0569,                 0.0811,                 0.0021,                 0.0021
                      1,                 1.2381,                 3.5798,                 1.1902,                0.02892,                0.40482,                0.04651,                0.02714,                 1.3976,                 3.7222,                 1.1658,               0.061158,              0.0041581,              0.0041581
                      2,                 1.3072,                 2.6718,                 1.2448,                0.03317,                0.51358,                0.17887,                0.10141,                 1.3937,                 3.3285,                 1.2887,               0.041071,               0.006071,               0.006071
                      3,                  1.328,                 2.1955,                 1.2736,                0.90993,                0.11513,                0.29094,                0.16652,                 1.4777,                 2.8651,                 1.4282,               0.020839,              0.0078387,              0.0078387
                      4,                 1.2578,                 1.8467,                  1.245,                0.80236,                0.28901,                0.33236,                0.19104,                 1.5133,                 2.1435,                 1.5351,                0.00868,                0.00868,                0.00868
                      5,                 1.2811,                  1.615,                 1.2429,                0.79351,                0.31738,                0.38534,                0.23642,                 1.2959,                 1.9728,                 1.4732,                0.00868,                0.00868,                0.00868
                      6,                  1.231,                 1.4918,                  1.247,                0.58541,                0.32034,                0.37144,                0.19352,                 1.6112,                 2.1675,                 1.6003,                0.00835,                0.00835,                0.00835
                      7,                 1.2157,                 1.3407,                 1.2374,                0.55456,                0.49642,                0.47965,                0.29098,                 1.3674,                 1.5899,                 1.5013,                0.00802,                0.00802,                0.00802
                      8,                 1.2146,                 1.2602,                 1.2272,                 0.7137,                0.64682,                 0.6879,                0.40793,                 1.4534,                 1.2516,                  1.452,                0.00769,                0.00769,                0.00769
                      9,                   1.18,                 1.1808,                   1.21,                0.77017,                 0.6792,                0.74887,                0.47395,                 1.3101,                 1.0554,                 1.3893,                0.00736,                0.00736,                0.00736
                     10,                 1.1633,                 1.1124,                 1.1817,                0.80368,                0.55373,                0.64911,                0.35371,                 1.6135,                 1.2118,                  1.555,                0.00703,                0.00703,                0.00703
                     11,                 1.1861,                 1.1308,                 1.2074,                0.72181,                0.80733,                 0.8108,                0.50743,                 1.3686,                   1.02,                 1.4267,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.1359,                 1.0554,                 1.1955,                0.71643,                0.75558,                0.76239,                0.47761,                 1.3864,                 1.1049,                 1.4779,                0.00637,                0.00637,                0.00637
                     13,                 1.1322,                 1.0182,                 1.1898,                0.86225,                0.80804,                0.87632,                0.60097,                 1.1597,                0.84427,                 1.3617,                0.00604,                0.00604,                0.00604
                     14,                 1.1288,                0.99682,                  1.186,                0.85455,                0.73784,                0.85091,                0.61489,                 1.0277,                0.91451,                  1.286,                0.00571,                0.00571,                0.00571
                     15,                 1.1083,                0.99473,                 1.1887,                0.78971,                 0.9453,                0.92931,                0.60966,                 1.2827,                0.84419,                 1.3645,                0.00538,                0.00538,                0.00538
                     16,                 1.0979,                0.94329,                 1.1669,                0.86312,                0.81521,                0.90192,                0.60658,                 1.1583,                0.82811,                 1.3127,                0.00505,                0.00505,                0.00505
                     17,                 1.0644,                0.93835,                 1.1718,                0.82478,                0.84946,                0.91809,                0.51908,                  1.626,                0.95258,                 1.5741,                0.00472,                0.00472,                0.00472
                     18,                 1.0642,                0.91708,                 1.1574,                0.85457,                0.91141,                0.94335,                0.65815,                 1.1455,                0.78999,                 1.2956,                0.00439,                0.00439,                0.00439
                     19,                 1.0722,                0.91124,                 1.1664,                0.83895,                0.91117,                0.92467,                0.65371,                   1.09,                0.79152,                 1.2642,                0.00406,                0.00406,                0.00406
                     20,                 1.0047,                0.80464,                 1.2161,                0.84569,                0.91594,                0.91685,                0.65676,                 1.0872,                0.80822,                 1.2686,                0.00373,                0.00373,                0.00373
                     21,                 1.0109,                0.77268,                  1.232,                0.91052,                0.93943,                0.96672,                0.69369,                  1.077,                0.78155,                 1.2785,                 0.0034,                 0.0034,                 0.0034
                     22,                0.99949,                0.78716,                 1.2052,                 0.8527,                0.90487,                 0.9334,                0.69458,                0.98392,                0.76009,                 1.2278,                0.00307,                0.00307,                0.00307
                     23,                 0.9695,                0.70897,                 1.1969,                 0.9105,                0.90551,                0.94518,                0.67494,                 1.1202,                0.76055,                 1.3156,                0.00274,                0.00274,                0.00274
                     24,                 0.9531,                0.69798,                 1.1837,                0.94784,                0.91668,                0.97104,                0.71434,                0.99006,                0.70003,                 1.2311,                0.00241,                0.00241,                0.00241
                     25,                 0.9579,                0.68789,                 1.1797,                0.93871,                0.94396,                 0.9729,                0.71497,                0.99915,                 0.6773,                 1.2343,                0.00208,                0.00208,                0.00208
                     26,                0.93345,                0.67204,                  1.176,                0.94816,                0.95383,                0.97396,                0.72402,                0.96162,                0.67183,                 1.2247,                0.00175,                0.00175,                0.00175
                     27,                0.92436,                0.66736,                 1.1785,                0.93846,                0.94558,                0.97361,                0.71824,                0.98168,                0.66393,                 1.2244,                0.00142,                0.00142,                0.00142
                     28,                0.92386,                0.66879,                 1.1768,                0.92482,                0.95206,                0.97469,                0.71395,                0.98998,                0.65174,                 1.2259,                0.00109,                0.00109,                0.00109
                     29,                0.91824,                0.65299,                 1.1668,                0.94251,                0.95975,                0.98055,                0.71649,                 1.0336,                0.64115,                 1.2393,                0.00076,                0.00076,                0.00076
